844	4783
844	5907
845	539
845	2788
846	1730
847	523
848	3122
849	3338
850	1623
850	3136
850	4608
852	3179
852	5393
854	641
854	2370
854	3551
855	3494
856	406
857	1822
859	3822
860	1746
860	4901
861	217
861	5155
862	5325
863	2563
864	5330
865	1045
866	1489
868	3026
870	3230
871	1363
872	2652
872	3046
872	3938
872	4873
872	5917
873	3097
874	589
874	4979
876	907
878	1812
878	3443
878	3571
879	3173
880	2004
880	2707
880	4193
880	5480
881	1437
882	5290
883	4050
884	277
884	334
884	5481
885	640
885	4609
888	3836
890	340
891	4954
892	4772
893	2637
894	3855
895	3975
896	633
896	2639
896	5145
897	4113
898	4820
899	3599
902	4766
904	2245
904	4221
905	1364
906	3888
907	2359
908	3198
910	5164
911	5687
912	4134
913	1327
913	5070
914	3848
915	5339
916	1532
917	4123
918	1894
919	1299
920	1051
921	3802
922	3867
923	3282
924	4198
925	465
926	5179
927	2777
928	3686
929	1885
930	3236
931	3532
932	2590
933	1121
933	1971
933	5260
934	1125
935	1336
936	409
937	2220
938	774
939	1645
940	2720
940	5009
941	2999
943	3915
944	2797
945	5100
946	1392
947	745
948	1670
949	153
950	3536
951	505
952	3055
955	1959
956	1295
957	4737
958	1873
959	3107
960	662
960	3916
961	4100
963	574
964	482
965	65
966	1858
967	1169
968	5167
969	3619
970	1059
971	1406
971	4832
972	2699
973	2224
974	2900
976	2334
977	1065
978	530
979	2402
979	4174
981	807
981	969
981	1827
981	3042
981	5083
982	230
982	1255
982	2345
982	4317
982	5136
983	2761
984	2458
985	4875
986	4664
988	4966
989	3025
990	1813
991	2997
991	3051
991	3794
991	3814
992	4881
993	896
994	1697
995	2848
995	3753
996	1018
997	4286
997	4514
997	5503
998	1495
999	3811
1000	2793
1001	40
1002	4106
1003	4531
1005	4683
1007	52
1007	5765
1008	5097
1009	222
1009	314
1009	1412
1009	4131
1010	3602
1011	1486
1012	2368
1014	5033
1016	1197
1016	2323
1016	2632
1016	5216
1017	4707
1018	1375
1019	632
1020	4522
1021	442
1021	4678
1021	4801
1021	4811
1021	5513
1022	826
1023	1967
1024	1267
1024	4283
1025	4170
1026	2372
1026	4223
1026	4855
1027	5277
1028	772
1029	4337
1030	2474
1030	2476
1030	3772
1030	5059
1031	3930
1031	4369
1032	3631
1033	743
1034	415
1035	2129
1036	3
1037	2737
1037	3960
1038	1333
1038	2427
1039	1775
1040	269
1042	3524
1043	4911
1045	1186
1045	5279
1045	5966
1045	6164
1046	1350
1047	2541
1048	475
1049	1274
1050	3511
1052	4564
1053	3280
1053	3468
